Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
73120.65721669863,5.2753824983688,5.707288323542413,2.27,32402.25541487064,981259.5641129231,"3175 Louis Ville
East Abigailmouth, CO 75216"
54700.293455755076,6.765221600349139,4.968281480737257,4.34,46224.49329118832,1125230.4502937691,"08283 Jim Drives Suite 982
East Christinafurt, WA 28832-9229"
38139.919044520015,5.577267494234432,6.348067700382508,2.13,45899.73840240165,723750.0652577134,"2899 Katherine Junction
North Richardview, SC 52089-4919"
74567.19960944561,5.745518039299988,7.735040644469866,5.29,44393.34075070241,1556552.473741118,"683 Nicholas Lake Suite 278
Maryborough, NV 35094"
71628.506435489,5.2329294276252405,7.237042812998999,4.2,44387.868291705585,1391303.7868712496,"025 Sandra Spring
Aaronbury, OK 28010"
71375.96616425527,5.341157553051619,7.686869052297782,5.39,30469.54896814164,1103648.2877240828,"8181 Michelle Fords Apt. 976
South Sharonborough, IL 69416-4860"
82858.44891475447,7.700172406943978,8.952861405342816,5.44,36835.73969931414,2005037.3066792216,"9963 Terri Cove Suite 637
Port Danielleborough, HI 98045-2788"
67907.05876543059,5.426837102746391,5.645458791595918,2.26,30268.359117694432,1055153.3195092094,"7979 Pierce Burgs
North Deborah, IA 88107"
80606.86161671234,6.157447528281478,6.68378841583479,4.11,34354.962931175825,1389366.7180879028,"5478 Mueller Loaf
Marissaside, VA 10147"
63585.83654821635,6.060625717853144,7.540403854170218,3.14,43547.57901384004,1249461.5616007491,"559 Tammy Knolls
Port Gary, WY 40773-0532"
87802.39141133384,5.464991823130545,7.416854031210755,5.37,34354.159698452175,1501482.219941262,"87550 Jackson Estates
Lake Michelle, OK 38565"
64446.15728120698,5.923312449054067,6.761698048245084,4.12,46743.721651454434,1296134.3945546895,"9910 Jessica Greens
Grahamfurt, SD 63388"
56501.228454851975,7.20424786101735,6.285785524843657,4.42,34720.46135838571,992773.7915703077,"76968 Carla Forks
North Samuelborough, IN 98003-5220"
65037.25920353219,6.134211464453687,7.655160571534617,6.28,27356.89573802976,1085101.3240057079,"Unit 8978 Box 9314
DPO AA 62679"
55146.81014730227,4.802783203299577,6.863115134249482,2.21,40018.19069710725,734562.104533648,"19193 Kristin Drive Apt. 199
Richardshire, FM 36385"
52122.954312985516,6.599763939729455,7.910268870798269,3.04,38764.82093338417,1221827.821998858,"1345 Chavez Canyon
Lake Alexander, IN 90097"
59765.154396156526,7.124845299874012,6.685256705720952,4.38,39557.32061960267,1489970.147065019,"1500 White Dam Apt. 706
Angelatown, MI 85680-7551"
79745.85949406229,7.827258507697397,6.493899315174439,3.37,39511.679122269285,1696086.1681042681,"PSC 2584, Box 7364
APO AP 59818"
66449.93044210004,5.133480581883197,6.076763138825166,4.21,18725.606599726627,891259.338362191,"022 Valdez Freeway
Shannonstad, MA 34534"
65314.72011226055,6.91894534505661,6.245655682932126,2.42,36565.02983061061,1347083.0697067634,"52106 Bradley Ferry Suite 244
Chasechester, NJ 96162-4379"
59879.22306477917,6.249999521314131,8.936689036191078,6.21,40838.66482508062,1428797.3718951428,"9188 Morris River
Millerside, MT 60924"
65220.99816814039,6.037268901062765,8.860937235527956,4.49,19500.48453486966,1198678.9842989913,"069 Mary Mission Suite 064
Karenchester, ME 18824-1236"
54850.43659708965,6.839891175790763,7.176917279445046,6.18,43807.92573715271,1194083.2472498536,"4680 Kristina Bridge
Marquezville, MN 20305"
86260.71100496253,5.030503878328223,7.445576793210571,3.08,23964.62351762752,1233126.8356523872,"37233 Reed Tunnel
Williamsport, MS 62923-6005"
73391.28054336441,7.437555944679527,7.595263925202841,4.21,36714.49675451042,1587585.4847117497,"628 Edwin Points
Port James, OK 42229-3818"
